Symbol	Description
BRF.PR.C	Brookfield Renewable Power Pref Eqty Inc
BRF.PR.E	Brookfield Renewable Power Pref Eqt Sr 5
BRF.PR.F	Brookfield Renewable Power Pref Eqt Sr 6
BRP	Brookfield Residential Properties Inc
BRY	Bri Chem Corp
BSC	Bns Split Corp.Ii
BSC.PR.B	Bns Split Corp II Pref B Series 1
BSD.PR.A	Brookfield Soundvest Split Trust Pref
BSD.UN	Brookfield Soundvest Split Trust
BSE.UN	Brookfield Soundvest Equity Fund
BSX	Belo Sun Mining Corp.
BT	Bonnetts Energy Corp
BTB.DB.C	Btb REIT 8.0 Pct Debs
BTB.DB.D	Btb REIT 7.25 Pct Debs
BTB.DB.E	Btb REIT 6.90 Pct Debs
BTB.UN	Btb REIT Units
BTE	Baytex Energy Corp.
BTO	B2Gold Corp.
BU	Burcon Nutrascience Corporation
BUA.UN	Bloom US Advantaged Inc And Grw
BUI	Buhler Ind
BVL	Braeval Mining Corporation
BWI.UN	Legg Mason Bw Invest Grade Focu
BX	Biox Corporation
BXE	Bellatrix Exploration Ltd
BXE.DB.A	Bellatrix Expl Ltd 4.75 Pct Conv Debs
BXF	First Asset 1 To 5 Yr Lad Gov S
BXI	Bioexx Specialty Proteins Ltd.
BXS.DB.C	Barclays Bank Fixed Rate Notes I 28
BYD.DB	Boyd Group Income Fund 5.75 Pct
BYD.UN	Boyd Group Income Fund
BZA	American Bonanza Gold Corp.
CAB	Claymore Adv Canadian Bond ETF
CAE	Cae Inc
CAG.UN	Coxe Global Agribusiness Income Fund
CAH.UN	Canadian High Yield Focus Fund
CAL	Caledonia Mng
CAM	Canam Group Inc.
CAM.DB	Canam Group Inc 6.25 Pct Convertible Dbs
CAR.UN	Cdn Apartment Un
CAS	Cascades Inc
CAX	Candax Energy Inc.
CAZ	Caza Oil
CBB.UN	Copernican British Banks Fund
CBD	Claymore Balanced Income Core ETF
CBD.A	Claymore Balanced Income Core ETF Adv
CBF	Canbanc 8 Income Corp
CBH	Claymore 1-10 Yr Laddered Corp Bond ETF
CBH.A	Claymore 1-10 Yr Ladder Corp Bond ETF A
CBN	Claymore Balanced Growth Core ETF
CBN.A	Claymore Balanced Growth Core ETF Adv
CBO	Claymore 1-5Yr Laddered Corp. Bond ETF
CBO.A	Claymore 1-5Yr Ladder Corp. Bd ETF Cl A
CBQ	Claymore BRIC ETF
CBQ.A	Claymore BRIC ETF
CBR	Claymore Broad Commodity ETF
CBR.A	Claymore Broad Commodity ETF Adv Cl
CBU	First Asset Canbanc Cl. A
CBU.PR.A	First Asset Canbanc Prf A
CBW	Copernican World Banks Split Inc. Cl.A
CBW.PR.A	Copernican World Banks Split Inc. Prf A
CBY	Canada Bread
CCA	Cogeco Cable Inc. Sv
CCI.UN	Canadian Convertibles Plus Fund
CCL.B	Ccl Industries Inc. Cl. B Nv
CCM	Canarc Res J
CCO	Cameco Corp
CCS.PR.C	Co-Operators Gen Ins Cl E Prf
CCS.PR.D	Co-Operators Gen Ins Cl E Prf Series D
CCT	Catamaran
CCV	Counterpath Corporation
CCZ	Criticalcontrol Solutions Corp.
CDD.UN	Core Canadian Dividend Trust
CDG	Candente Gold Corp
CDH	Corridor Resources Inc.
CDI	Canelson Drilling Inc
CDL.A	Corby Distill
CDL.B	Corby Distilleries Ltd. Cl B. Nv
CDM	Coeur Mining Inc
CDM.WT	Coeur Mining Inc Warrants
CDU	Cardero Resource Corp.
CDV	Com Dev Intl
CDW.UN	Canadian Wireless Trust
CDZ	Claymore Sp TSX Cdn Dividend ETF
CDZ.A	Claymore Sp TSX Cdn Dividend ETF
CEE	Centamin Egypt Limited
CEF.A	Central Fund Of Canada Ltd. Cl.A Nv
CEF.U	Central Fund Of Canada Ltd. Cl. A Nv
CEG	Cerro Grande Mining Corporation
CEN	Coastal Energy Company
CET	Cathedral Energy Services Ltd.
CEU	Canadian Energy Svcs And Tech Corp
CEW	Claymore Equal Weight Banc & Lifco ETF
CEW.A	Claymore Equal Weight Banc & Lifeco Trs
CEZ	Calmena Energy Services Inc.
CF	Canaccord Financial Inc.
CF.PR.A	Canaccord Financial Inc. Pref A
CF.PR.C	Canaccord Financial Inc Pr Sh Series C
CFB	Chieftain Metals Inc  Com
CFN	Carfinco Financial Group Inc
CFP	Canfor Corp
CFW	Calfrac Well Services Ltd.
CFX	Canfor Pulp Products Inc.
CG	Centerra Gold Inc.
CGG	China Gold Int Resources Corp.
CGI	Cdn General Inv
CGI.PR.C	Canadian General Inv. Ltd 3.9% Pr Ser3
CGI.PR.D	Canadian General Inv Ltd Pref Ser 4
CGJ	Carlisle Goldfields Limited
CGL	Claymore Gold Bullion ETF
CGL.C	Claymore Gold Bullion ETF Non-Hedged
CGO	Cogeco Inc. Sv
CGQ	Capital Gains Yld
CGQ.E	Capital Gains Eq
CGR	Claymore Global Real Estate ETF
CGX	Cineplex Inc.
CHB	Claymore Advantaged HY Bond ETF
CHB.A	Claymore Advantaged HY Bond ETF Adv Cl
