Symbol	Description
DVV	Driven Capital Corp
DXA	Doxa Energy Ltd.
DXE	Dualex Energy International Inc.
DYA	Dynamic Fuel Systems Inc.
DYG	Dynasty Gold Corp.
DYU	Dawson Gold Corp
EAG	Eagle Hill Exploration Corporation
EAM	East Africa Metals Inc
EAS	East Asia Minerals Corp.
EBN	Epicore Bionetworks Inc.
EBY	Emerald Bay Energy Inc.
EC	Ecometals Limited
ECC	Ethos Capital Corp
ECH	Echelon Petroleum Corp
ECR	Cartier Resources Inc.
ECX	Eastcoal Inc
ED	Edgefront Realty Corp
EDE	Edge Resources Inc.
EDG	Endurance Gold Corporation
EDW	Edgewater Exploration Ltd.
EEN	Estrella Intl Energy Svcs Ltd
EER	Enterprise Energy Resources Ltd
EGD	Energold Drilling Corp.
EGE	Eagle Star Minerals Corp.
EGX	Ecuador Gold & Copper Corporati
EIL	Empire Industries Ltd
EKG	Cardiocomm Solutions Inc.
ELE.P	Elevation Capital Corp
ELI	Elissa Resources Ltd
ELN	El Nino Ventures Inc
ELO	Eloro Resources Ltd.
ELS	El Tigre Silver Corp
ELT	Electra Gold Ltd.
ELW	Elkwater Resources Ltd
ELY	Ely Gold & Minerals Inc.
EM	Emperor Oil Ltd
EMB	Emberclear Corp.
EMM	Emedia Networks Corporation
EMO	Emerita Gold Corp
EMR	Emgold Mining Corporation
EMT	Entourage Metals Ltd
EMX	Eurasian Minerals Inc
ENA	Enablence Technologies Inc.
ENG	Energulf Resources Inc.
ENP	Enpar Tech Inc.
ENS	Enseco Energy Services Corp
ENT	Entrec Transporation Services Ltd
ENT.DB	Entrec Corporation 7 Pct Debs
ENV	Enssolutions Group Inc.
ENW	Enwave Corp
EOG	Eco Atlantic Oil And Gas Ltd
EOR	Enhanced Oil Resources Inc.
EOX	Euromax Resources Ltd.
EPI	Epi Environmental Technologies
EPK	Epm Mining Ventures Inc
EPL	Eagle Plains Resources Ltd.
EPO	Encanto Potash Corp.
EPT	Empower Technologies Corp
EPZ	Esperanza Resources Corp.
EPZ.WT	Esperanza Resources Corp Wts
EQT	Equitas Resources Corp
EQX	Equinox Exploration Corp
ERA	Elcora Resources Corp
ERG	Ergoresearch Ltd.
ESB	Eastsiberian Plc
ESK	Eskay Mining Corp.
EST	Estrella Gold Corporation
ESV	Esi Environmental Sensors Inc
ETF	Eastfield Resources Ltd.
ETM	Elm Tree Minerals Inc
ETV.P	Evermount Ventures Inc
EUK	Eureka Resources Inc.
EUO	Eurocontrol Technics Group Inc.
EUU	European Uranium Resources Ltd
EV	Erin Ventures Inc.
EVM	Evrim Resources Corp
EVR	Everton Resources Inc.
EW	East West Petroleum Corp
EWD	Eaglewood Energy Inc.
EWK	Earthworks Industries Inc.
EWS	Environment Waste Intlinc
EX	Explorex Capital Ltd.
EXC	Essex Angel Capital Inc
EXO	Aumento Capital III Corporation
EXQ.H	Exchequer Resource Corp
EXS	Explor Resources Inc.
EXU	Expedition Miining Inc.
EXX	Equitorial Capital Corp.
EY	Extenway Solutions Inc.
EYE.A	Eyelogic Systems Inc
FAB	Flying A Petroleum Ltd
FAC	First Americas Gold Corporation
FAM	Family Memorials Inc.
FAU	Fire River Gold Corp.
FBI	Franchise Bancorp Inc.
FBR.H	Fibre-Crown Manufacturing  Inc.
FBX	First Bauxite Corporation
FCD.UN	Firm Capital Property Trust
FCU	Fission Uranium Co Npv
FCV	Focus Ventures Ltd.
FDC	Forum Uranium Corp
FDN	Foundation Resources Inc.
FDR	Flinders Resources Limited
FDR.WT	Flinders Resources Limited Wts
FEM	Ferrum Americas Mining Inc
FEN	Forent Energy Ltd.
FEO	Oceanic Iron Ore Corp
FEO.WT.B	Oceanic Iron Ore Corp Wts B
FEX	Fjordland Exploration Inc
FFM	Formation Fluid Management Inc
FG	Chesstown Capital Inc
FGC	Frontline Gold Corporation
FGD	First Global Data Limited
FGF	Capital Dgmc Inc
FIU.H	First Uranium Corporation
FIX	Firebird Resources Inc
FLO.H	Focused Capital Corp
FLX	Fieldex Exploration Inc.
FLY	Flyht Aerospace Solutions
