Symbol	Description
M04	Mandarin Oriental Intl Ltd
M05	Mtq Corporation Limited
M06	Multi-chem Limited
M09	S I2i Limited
M11	Mfg Integration Technology Ltd
M14	Innotek Limited
M15	Matex International Limited
M1GU	Sabana Shari'ah Compliant Reit
M1P	Amtek Engineering Ltd
M1Z	Tee International Limited
M22	Lottvision Limited
M26	Memtech International Ltd
M2IW	Dragon Group Intl W131209
M30	Meghmani Organics Limited
M35	Wheelock Properties (s) Ltd
M41	Macquarie Int'l Infra Fund Ltd
M44U	Mapletree Logistics Trust
M62	Cimb Ftse Asean40 100
M8TZ	Capmallasiatrs$125m2.15%140121
M9F	Xmh Holdings Ltd.
MA6Z	Sia $300m 2.15%b150930
MC0	Global Logistic Prop Limited
MC7	Yamada Green Resources Limited
ME8U	Mapletree Industrial Trust
MF5	Anchun International Hldgs Ltd
MF6	Mun Siong Engineering Limited
MN5	Xinren Aluminum Holdings Ltd
MQ4	Bund Center Investment Ltd
MR2W	Falcon Energy Group W131102
MR7	Nordic Group Limited
MR8	Novo Group Ltd.
MS6W	Allied Technologies W131102
MS7	Stx Osv Holdings Limited
MT1	Dragon Group Intl Limited
MT7	Lyxor Etf Asia Real Estate 10
MU7	Dbs S$800m 4.7% Ncps
MV1W	Sinarmas Land Limited Ew151118
MV4	Mewah International Inc.
N01	Neratelecommunications Ltd
N02	Nsl Ltd.
N03	Neptune Orient Lines Limited
N08	New Toyo Int Hldgs Ltd
N0L	Eastgate Technology Ltd
N0Z	Combine Will Intl Hldgs Ltd
N14	M Development Ltd.
N21	Noble Group Limited
N2E	Dbxt Msci Philippines Etf 10
N2F	Dbxt Msci Asia Exjap Hdy Etf10
N2H	Hyflux 6% Cum Pref Class A 10
N2IU	Mapletree Commercial Trust
N32	Nippecraft Limited
N33	Nomura Holdings Inc
N4E	Nam Cheong Limited
N5YD	Mufj Financial Adr 10
N5ZD	Posco Adr 10
N6DD	Mizuho Financial Adr 10
N6ED	Ntt Docomo Adr 10
N6FD	Toyota Motor Adr 10
N6H	Internet Technology Grp Ltd
N6L	Ishares Asia Loc Cur Bond Etf
N6M	Ishares Usd Asia Bond Etf
N9LU	Perennial China Retail Trust
NC2	Sri Trang Agro-industry Pcl
NC3W	Joyas International W160125
NC9	Malaysia Smelting Corp Bhd 100
ND8U	Frasers Commercial Trust
NF1	Sapphire Corporation Limited
NF4	Lyxor Etf Asia Technology 10
NF6	Lyxor Etf Asia Con Stap 10
NG6W	Wee Hur Holdings Ltd W140222
NI3	Ue E&c Ltd.
NO4	Dyna-mac Holdings Ltd.
NR7	Raffles Education Corp Ltd
NS8U	Hutchison Port Holdings Trust
NT1	Hotung Investment Hldgs Ltd
NU6Z	F&n Treasury S$220m2.48%160328
NU7Z	F&n Treasury S$80m3.15%180328
O02	Ogl Resources Limited
O05	Ocean Sky International Ltd
O08	Ossia International Ltd
O10	Orchard Parade Holdings Ltd
O15	Ocbc Bk 4.2% Ncps
O23	Osim International Ltd
O2F	Swing Media Technology Grp Ltd
O2HW	Swing Media Technology W140106
